'may 20 2034', '2034-05-20'
'sat 3 nov 1787', '1787-11-03'
'24 february 1767', '1767-02-24'
'mar 10 1734', '1734-03-10'
'thursday february 4 1677', '1677-02-04'
'monday october 7 1641', '1641-10-07'
'sat 1881 19 november', '1881-11-19'
'tuesday 1685 3 07', '1685-07-03'
'aug 2 1805', '1805-08-02'
'fri 4 may 1685', '1685-05-04'
'wed 12 jun 1613', '1613-06-12'
'19 february 1810', '1810-02-19'
'saturday 2039 8 10', '2039-10-08'
'11/04/1904', '1904-04-11'
'december 26 1564', '1564-12-26'
'1993 25 august', '1993-08-25'
'9 october 1736', '1736-10-09'
'8 march 1857', '1857-03-08'
'jan 5 1689', '1689-01-05'
'april 24 2011', '2011-04-24'
'26 july 1964', '1964-07-26'
'thursday 18 february 1740', '1740-02-18'
'march 1 1763', '1763-03-01'
'december 16 1720', '1720-12-16'
'wed 1870 16 november', '1870-11-16'
'sep 4 1830', '1830-09-04'
'monday 1628 9 10', '1628-10-09'
'29 apr 1593', '1593-04-29'
'1538 27 dec', '1538-12-27'
'january 18 1939', '1939-01-18'
'saturday october 1 2022', '2022-10-01'
'july 17 1766', '1766-07-17'
'2057 29 sep', '2057-09-29'
'saturday july 4 1891', '1891-07-04'
'1615 9 july', '1615-07-09'
'13 may 1873', '1873-05-13'
'december 20 1668', '1668-12-20'
'sat 1980 13 september', '1980-09-13'
'june 6 1703', '1703-06-06'
'may 28 1751', '1751-05-28'
'thursday 1 february 1720', '1720-02-01'
'02/02/1711', '1711-02-02'
'11/7/94', '1594-11-07'
'30/11/1924', '1924-11-30'
'19/11/1669', '1669-11-19'
'17 january 1825', '1825-01-17'
'jun 11 2050', '2050-06-11'
'24 november 1861', '1861-11-24'
'sunday october 29 1882', '1882-10-29'
'march 8 1611', '1611-03-08'
'1 april 1779', '1779-04-01'
'april 3 1746', '1746-04-03'
'1893 26 november', '1893-11-26'
'september 10 2060', '2060-09-10'
'03/08/1700', '1700-08-03'
'1633 24 august', '1633-08-24'
'jan 27 2045', '2045-01-27'
'mon 2050 14 march', '2050-03-14'
'march 26 2041', '2041-03-26'
'friday 1773 28 05', '1773-05-28'
'6 april 1886', '1886-04-06'
'22 april 1844', '1844-04-22'
'friday november 29 1568', '1568-11-29'
'january 18 1680', '1680-01-18'
'1562 15 jul', '1562-07-15'
'1 june 1862', '1862-06-01'
'9 november 2033', '2033-11-09'
'2013 17 may', '2013-05-17'
'august 13 1906', '1906-08-13'
'january 2 1861', '1861-01-02'
'7/30/64', '1564-07-30'
'june 10 1966', '1966-06-10'
'may 23 1546', '1546-05-23'
'jul 2 2021', '2021-07-02'
'jan 19 1758', '1758-01-19'
'1850 8 mar', '1850-03-08'
'apr 24 1581', '1581-04-24'
'september 10 1786', '1786-09-10'
'1904 29 november', '1904-11-29'
'may 14 1804', '1804-05-14'
'tuesday 1875 26 01', '1875-01-26'
'25 sep 1975', '1975-09-25'
'saturday 1959 7 03', '1959-03-07'
'sep 8 2002', '2002-09-08'
'sunday june 5 1994', '1994-06-05'
'may 25 1694', '1694-05-25'
'friday 1789 30 10', '1789-10-30'
'feb 11 1927', '1927-02-11'
'thursday 3 september 1637', '1637-09-03'
'aug 12 1738', '1738-08-12'
'dec 30 1604', '1604-12-30'
'20/06/2010', '2010-06-20'
'december 15 1835', '1835-12-15'
'12 dec 1784', '1784-12-12'
'may 29 1720', '1720-05-29'
'thu 12 dec 1782', '1782-12-12'
'october 13 1903', '1903-10-13'
'09/02/1894', '1894-02-09'
'1953 20 october', '1953-10-20'
'jul 25 2061', '2061-07-25'
'tue 2021 18 may', '2021-05-18'
'friday 1855 12 10', '1855-10-12'
'wed 20 nov 1872', '1872-11-20'
'april 26 1737', '1737-04-26'
'31/03/1669', '1669-03-31'
'april 28 2048', '2048-04-28'
'19/05/1828', '1828-05-19'
'mon 1970 27 july', '1970-07-27'
'sunday 1874 19 04', '1874-04-19'
'13 october 1611', '1611-10-13'
'apr 21 1580', '1580-04-21'
'12/23/52', '2052-12-23'
'9 july 1842', '1842-07-09'
'23/03/2004', '2004-03-23'
'august 26 1863', '1863-08-26'
'june 3 1786', '1786-06-03'
'1537 5 jul', '1537-07-05'
'3 march 1799', '1799-03-03'
'wednesday 29 may 1574', '1574-05-29'
'november 9 1926', '1926-11-09'
'1923 13 may', '1923-05-13'
'tuesday may 6 1969', '1969-05-06'
'aug 9 1636', '1636-08-09'
'sunday 3 january 1840', '1841-01-03'
'november 24 1826', '1826-11-24'
'may 8 2058', '2058-05-08'
'may 8 2018', '2018-05-08'
'4/12/60', '2060-04-12'
'mar 7 1955', '1955-03-07'
'november 23 1924', '1924-11-23'
'tuesday august 18 1744', '1744-08-18'
'dec 11 1919', '1919-12-11'
'july 7 1990', '1990-07-07'
'june 29 1886', '1886-06-29'
'4/22/37', '1737-04-22'
'monday february 25 1552', '1552-02-25'
'29 january 1945', '1945-01-29'
'jun 22 1959', '1959-06-22'
'15 december 1953', '1953-12-15'
'26 november 1556', '1556-11-26'
'jul 5 1659', '1659-07-05'
'12 november 2026', '2026-11-12'
'friday july 11 1704', '1704-07-11'
'1721 5 july', '1721-07-05'
'mon 5 jul 1728', '1728-07-05'
'12/3/15', '1815-12-03'
'tuesday june 3 1727', '1727-06-03'
'tue 1593 5 october', '1593-10-05'
'1567 30 may', '1567-05-30'
'6 july 1579', '1579-07-06'
'19 feb 1681', '1681-02-19'
'4 december 1861', '1861-12-04'
'april 18 1652', '1652-04-18'
'march 9 1912', '1912-03-09'
'saturday 18 april 1671', '1671-04-18'
'may 29 2023', '2023-05-29'
'25 apr 1585', '1585-04-25'
'1905 19 dec', '1905-12-19'
'nov 26 1771', '1771-11-26'
'june 23 2022', '2022-06-23'
'november 15 1659', '1659-11-15'
'1925 24 oct', '1925-10-24'
'august 2 1913', '1913-08-02'
'oct 25 2002', '2002-10-25'
'3/23/12', '1812-03-23'
'fri 1618 5 january', '1618-01-05'
'friday march 25 1904', '1904-03-25'
'tuesday 1681 4 11', '1681-11-04'
'april 24 2011', '2011-04-24'
'1660 18 october', '1660-10-18'
'february 15 1950', '1950-02-15'
'april 9 1529', '1529-04-09'
'friday march 21 1902', '1902-03-21'
'tuesday september 1 1789', '1789-09-01'
'july 7 1569', '1569-07-07'
'wed 3 sep 1721', '1721-09-03'
'8/15/27', '1727-08-15'
'17 march 1674', '1674-03-17'
'sunday october 30 2044', '2044-10-30'
'wed 16 aug 1882', '1882-08-16'
'1562 25 november', '1562-11-25'
'dec 25 1620', '1620-12-25'
'november 9 1663', '1663-11-09'
'thursday december 27 1990', '1990-12-27'
'feb 24 1657', '1657-02-24'
'fri 1594 28 january', '1594-01-28'
'6 december 1970', '1970-12-06'
'9 march 1666', '1666-03-09'
'18 may 1900', '1900-05-18'
'march 13 1545', '1545-03-13'
'may 6 1617', '1617-05-06'
'8/18/62', '1862-08-18'
'thursday 12 august 1621', '1621-08-12'
'15 july 1703', '1703-07-15'
'19/11/1632', '1632-11-19'
'april 27 1963', '1963-04-27'
'9/7/57', '2057-09-07'
'august 3 1571', '1571-08-03'
'17 jul 1613', '1613-07-17'
'thu 1575 1 may', '1575-05-01'
'20 july 1903', '1903-07-20'
'nov 15 1946', '1946-11-15'
'april 9 1938', '1938-04-09'
'8 september 1731', '1731-09-08'
'sep 28 1784', '1784-09-28'
'february 28 1598', '1598-02-28'
'aug 29 1749', '1749-08-29'
'17 feb 1905', '1905-02-17'
'6/30/72', '1772-06-30'
'wednesday 1640 9 05', '1640-05-09'
'1/19/13', '2013-01-19'
'1835 26 feb', '1835-02-26'
'mar 5 1882', '1882-03-05'
'sunday 22 august 1926', '1926-08-22'
'wed 1697 27 march', '1697-03-27'
'7/31/37', '2037-07-31'
'22/12/1568', '1568-12-22'
'wednesday august 12 1931', '1931-08-12'
'wednesday 1838 5 09', '1838-09-05'
'wed 1829 26 august', '1829-08-26'
'april 27 1876', '1876-04-27'
'sunday december 12 1784', '1784-12-12'
'3 january 1595', '1595-01-03'
'april 27 1650', '1650-04-27'
'11/5/58', '1558-11-05'
'july 20 1964', '1964-07-20'
'january 7 1839', '1839-01-07'
'nov 5 2066', '2066-11-05'
'23/02/1571', '1571-02-23'
'oct 29 2057', '2057-10-29'
'april 8 1980', '1980-04-08'
'wed 5 mar 2008', '2008-03-05'
'july 11 1844', '1844-07-11'
'monday july 16 1984', '1984-07-16'
'oct 8 1775', '1775-10-08'
'30 august 1816', '1816-08-30'
'1/23/59', '2059-01-23'
'sun 5 jan 1721', '1721-01-05'
'tuesday july 23 1557', '1557-07-23'
'september 27 1724', '1724-09-27'
'thursday november 25 1543', '1543-11-25'
'4 december 1877', '1877-12-04'
'23 january 2036', '2036-01-23'
'4 may 1539', '1539-05-04'
'march 1 1928', '1928-03-01'
'1 march 1588', '1588-03-01'
'friday july 10 1711', '1711-07-10'
'thursday march 18 2060', '2060-03-18'
'30 november 1908', '1908-11-30'
'19/02/2030', '2030-02-19'
'19/11/1753', '1753-11-19'
'7 july 1656', '1656-07-07'
'2047 10 feb', '2047-02-10'
'mar 21 1866', '1866-03-21'
'thursday october 10 1669', '1669-10-10'
'sun 1648 8 november', '1648-11-08'
'monday april 5 1886', '1886-04-05'
'oct 29 1886', '1886-10-29'
'jun 23 1676', '1676-06-23'
'mar 30 1888', '1888-03-30'
'18 sep 1774', '1774-09-18'
'oct 10 2000', '2000-10-10'
'saturday january 17 2015', '2015-01-17'
'4 aug 1612', '1612-08-04'
'september 24 1533', '1533-09-24'
'sunday august 17 1958', '1958-08-17'
'wed 1647 4 december', '1647-12-04'
'11/10/98', '1998-11-10'
'18 april 1684', '1684-04-18'
'aug 22 2038', '2038-08-22'
'november 2 1946', '1946-11-02'
'july 9 1589', '1589-07-09'
'sunday 4 march 1832', '1832-03-04'
'december 4 1652', '1652-12-04'
'feb 28 1553', '1553-02-28'
'saturday 17 march 1900', '1900-03-17'
'10 october 1611', '1611-10-10'
'monday may 26 1597', '1597-05-26'
'dec 5 1632', '1632-12-05'
'thursday may 25 1684', '1684-05-25'
'5 july 1768', '1768-07-05'
'mon 10 nov 1952', '1952-11-10'
'march 5 1899', '1899-03-05'
'july 31 1558', '1558-07-31'
'11 march 2038', '2038-03-11'
'mon 24 may 1773', '1773-05-24'
'feb 19 1803', '1803-02-19'
'april 20 1728', '1728-04-20'
'30 jul 1626', '1626-07-30'
'20 november 1785', '1785-11-20'
'1811 14 sep', '1811-09-14'
'fri 17 apr 1863', '1863-04-17'
'17 april 1662', '1662-04-17'
'january 3 1644', '1644-01-03'
'1929 26 oct', '1929-10-26'
'monday april 11 1707', '1707-04-11'
'13 december 1822', '1822-12-13'
'31 january 1810', '1810-01-31'
'1711 8 may', '1711-05-08'
'august 4 1783', '1783-08-04'
'dec 31 1746', '1746-12-31'
'24 february 1815', '1815-02-24'
'08/05/1744', '1744-05-08'
'24 march 1590', '1590-03-24'
'tue 9 mar 2004', '2004-03-09'
'march 27 1898', '1898-03-27'
'march 8 1611', '1611-03-08'
'friday 18 august 1815', '1815-08-18'
'27 april 2057', '2057-04-27'
'8 september 1779', '1779-09-08'
'june 20 1851', '1851-06-20'
'february 23 1721', '1721-02-23'
'30 may 1551', '1551-05-30'
'mar 27 2063', '2063-03-27'
'november 17 1918', '1918-11-17'
'07/04/1837', '1837-04-07'
'april 5 1889', '1889-04-05'
'1953 6 july', '1953-07-06'
'friday august 20 1745', '1745-08-20'
'mar 1 1983', '1983-03-01'
'august 5 2038', '2038-08-05'
'july 23 1742', '1742-07-23'
'tuesday june 4 1946', '1946-06-04'
'jul 14 1744', '1744-07-14'
'september 11 1698', '1698-09-11'
'monday august 14 1876', '1876-08-14'
'nov 30 1875', '1875-11-30'
'january 4 1781', '1781-01-04'
'9 april 1930', '1930-04-09'
'jan 22 1907', '1907-01-22'
'february 10 1957', '1957-02-10'
'monday february 7 1667', '1667-02-07'
'august 13 1892', '1892-08-13'
'28 february 1770', '1770-02-28'
'12 march 1738', '1738-03-12'
'28 january 1632', '1632-01-28'
'february 15 1684', '1684-02-15'
'may 27 1734', '1734-05-27'
'june 24 1923', '1923-06-24'
'mar 2 1755', '1755-03-02'
'november 7 1864', '1864-11-07'
'1756 18 jan', '1756-01-18'
'tue 1670 14 january', '1670-01-14'
'oct 24 1830', '1830-10-24'
'october 4 1558', '1558-10-04'
'wednesday september 27 1578', '1578-09-27'
'april 16 1930', '1930-04-16'
'sun 2011 31 july', '2011-07-31'
'feb 23 1816', '1816-02-23'
'29 september 1934', '1934-09-29'
'24 apr 1627', '1627-04-24'
'wednesday 28 july 1700', '1700-07-28'
'friday october 5 2057', '2057-10-05'
'20/06/1764', '1764-06-20'
'october 1 1925', '1925-10-01'
'20 april 1970', '1970-04-20'
'sun 1704 24 august', '1704-08-24'
'saturday 2 february 1856', '1856-02-02'
'12 march 1547', '1547-03-12'
'18 september 1820', '1820-09-18'
'saturday december 17 1616', '1616-12-17'
'november 8 1819', '1819-11-08'
'17 jun 1650', '1650-06-17'
'nov 17 1772', '1772-11-17'
'tue 29 oct 1535', '1535-10-29'
'tue 8 aug 1724', '1724-08-08'
'tuesday october 3 1826', '1826-10-03'
'27 oct 1763', '1763-10-27'
'november 12 1911', '1911-11-12'
'29 jan 1768', '1768-01-29'
'sunday july 21 1641', '1641-07-21'
'december 13 1589', '1589-12-13'
'saturday april 24 1875', '1875-04-24'
'1 february 1713', '1713-02-01'
'june 3 1986', '1986-06-03'
'october 14 1671', '1671-10-14'
'oct 14 1601', '1601-10-14'
'13 may 1625', '1625-05-13'
'aug 28 1988', '1988-08-28'
'december 20 1630', '1630-12-20'
'4/3/08', '2008-04-03'
'march 24 1626', '1626-03-24'
'thu 1954 25 march', '1954-03-25'
'dec 31 1571', '1571-12-31'
'23/01/1861', '1861-01-23'
'friday september 13 1630', '1630-09-13'
'1 august 1996', '1996-08-01'
'tuesday february 27 1629', '1629-02-27'
'november 13 1613', '1613-11-13'
'4 february 1991', '1991-02-04'
'february 20 1808', '1808-02-20'
'january 17 1529', '1529-01-17'
'jun 2 1598', '1598-06-02'
'tuesday august 26 1969', '1969-08-26'
'2 june 1665', '1665-06-02'
'18 april 1793', '1793-04-18'
'5 november 1760', '1760-11-05'
'mar 25 1864', '1864-03-25'
'3 september 1702', '1702-09-03'
'13 july 1654', '1654-07-13'
'july 16 1604', '1604-07-16'
'jun 9 1645', '1645-06-09'
'thursday 1706 3 06', '1706-06-03'
'november 8 1976', '1976-11-08'
'jun 24 1917', '1917-06-24'
'april 27 1783', '1783-04-27'
'april 16 1857', '1857-04-16'
'11/18/84', '1784-11-18'
'17 november 1633', '1633-11-17'
'apr 6 1872', '1872-04-06'
'aug 13 1591', '1591-08-13'
'thu 3 may 1900', '1900-05-03'
'14 august 2056', '2056-08-14'
'1645 31 dec', '1645-12-31'
'apr 14 1584', '1584-04-14'
'may 27 1829', '1829-05-27'
'14 october 2014', '2014-10-14'
'sep 15 1997', '1997-09-15'
'30 october 2007', '2007-10-30'
'jan 13 1859', '1859-01-13'
'march 18 1807', '1807-03-18'
'thu 5 dec 1861', '1861-12-05'
'30/12/2050', '2050-12-30'
'22 april 1878', '1878-04-22'
'april 14 1742', '1742-04-14'
'13/10/1945', '1945-10-13'
'wednesday 28 april 1886', '1886-04-28'
'sunday may 17 1536', '1536-05-17'
'12 june 1796', '1796-06-12'
'16 january 2019', '2019-01-16'
'8 jan 1596', '1596-01-08'
'30 apr 2036', '2036-04-30'
'sunday july 15 1877', '1877-07-15'
'8 jan 1535', '1535-01-08'
'april 7 1655', '1655-04-07'
'jul 30 1578', '1578-07-30'
'30/07/1760', '1760-07-30'
'tuesday november 15 1927', '1927-11-15'
'july 16 1753', '1753-07-16'
'21 may 1936', '1936-05-21'
'11/11/72', '1872-11-11'
'november 27 1716', '1716-11-27'
'17/06/1686', '1686-06-17'
'may 29 1582', '1582-05-29'
'sunday april 10 1785', '1785-04-10'
'11 july 1552', '1552-07-11'
'tuesday 1987 30 06', '1987-06-30'
'12/09/2060', '2060-09-12'
'26 october 1814', '1814-10-26'
'thursday june 19 1530', '1530-06-19'
'february 14 2036', '2036-02-14'
'4 december 1770', '1770-12-04'
'28 jun 1712', '1712-06-28'
'jul 26 1575', '1575-07-26'
'monday december 3 2001', '2001-12-03'
'7 august 1779', '1779-08-07'
'thursday 1705 6 08', '1705-08-06'
'friday may 10 1709', '1709-05-10'
'19 november 1874', '1874-11-19'
'september 26 1838', '1838-09-26'
'9 july 1765', '1765-07-09'
'wed 1759 18 april', '1759-04-18'
'14 october 1807', '1807-10-14'
'july 11 1991', '1991-07-11'
'7 july 1758', '1758-07-07'
'thursday november 15 1685', '1685-11-15'
'sep 26 2014', '2014-09-26'
'september 7 2024', '2024-09-07'
'1945 22 june', '1945-06-22'
'friday august 27 1565', '1565-08-27'
'jun 5 2002', '2002-06-05'
'26 jul 1673', '1673-07-26'
'dec 7 1777', '1777-12-07'
'10/9/35', '1735-10-09'
'thursday july 30 1992', '1992-07-30'
'mon 1657 27 august', '1657-08-27'
'17 nov 1877', '1877-11-17'
'jan 19 1712', '1712-01-19'
'2 august 1675', '1675-08-02'
'november 30 1940', '1940-11-30'
'jun 17 1665', '1665-06-17'
'12 november 2063', '2063-11-12'
'jul 11 1574', '1574-07-11'
'may 12 1990', '1990-05-12'
'8 august 1590', '1590-08-08'
'december 29 1988', '1988-12-29'
'thu 28 mar 1619', '1619-03-28'
'january 20 1836', '1836-01-20'
'friday march 7 1664', '1664-03-07'
'july 3 1757', '1757-07-03'
'may 30 1602', '1602-05-30'
'april 20 1550', '1550-04-20'
'9 december 1927', '1927-12-09'
'august 22 1743', '1743-08-22'
'wed 1529 27 march', '1529-03-27'
'march 24 1687', '1687-03-24'
'thursday 27 february 1592', '1592-02-27'
'8 july 1934', '1934-07-08'
'thu 19 nov 1587', '1587-11-19'
'thursday january 16 2048', '2048-01-16'
'2070 19 may', '2070-05-19'
'october 16 1666', '1666-10-16'
'january 6 1837', '1837-01-06'
'3 october 1789', '1789-10-03'
'june 11 1658', '1658-06-11'
'november 21 1870', '1870-11-21'
'january 7 2046', '2046-01-07'
'may 11 1840', '1840-05-11'
'november 2 1901', '1901-11-02'
'29 july 1635', '1635-07-29'
'march 28 1922', '1922-03-28'
'29 may 1711', '1711-05-29'
'friday july 22 1966', '1966-07-22'
'november 5 1935', '1935-11-05'
'14 february 1969', '1969-02-14'
'12 july 1982', '1982-07-12'
'may 4 2066', '2066-05-04'
'1863 11 january', '1863-01-11'
'1660 16 mar', '1660-03-16'
'monday 2007 24 12', '2007-12-24'
'jun 19 2020', '2020-06-19'
'tuesday may 1 2068', '2068-05-01'
'1651 18 march', '1651-03-18'
'saturday 2029 5 05', '2029-05-05'
'tuesday january 8 1850', '1850-01-08'
'sat 15 mar 1580', '1580-03-15'
'sat 1548 17 july', '1548-07-17'
'february 27 1537', '1537-02-27'
'1581 21 nov', '1581-11-21'
'monday april 25 1785', '1785-04-25'
'october 28 1852', '1852-10-28'
'tuesday may 19 1903', '1903-05-19'
'sunday 20 may 1962', '1962-05-20'
'friday january 15 1999', '1999-01-15'
'tuesday 9 january 1663', '1663-01-09'
'march 1 1740', '1740-03-01'
'fri 7 feb 1530', '1530-02-07'
'1590 9 jun', '1590-06-09'
'23 july 1773', '1773-07-23'
'september 3 1903', '1903-09-03'
'31 may 1862', '1862-05-31'
'apr 27 2009', '2009-04-27'
'1877 2 september', '1877-09-02'
'1763 23 april', '1763-04-23'
'thursday november 27 1659', '1659-11-27'
'6 august 2057', '2057-08-06'
'june 22 1526', '1526-06-22'
'wednesday 2046 5 12', '2046-12-05'
'1810 22 may', '1810-05-22'
'28 august 1970', '1970-08-28'
'20 december 1684', '1684-12-20'
'10 oct 1675', '1675-10-10'
'sat 1523 12 may', '1523-05-12'
'wednesday 23 october 1799', '1799-10-23'
'mon 11 sep 1939', '1939-09-11'
'2060 25 aug', '2060-08-25'
'22 september 1599', '1599-09-22'
'1680 10 sep', '1680-09-10'
'sat 2053 15 march', '2053-03-15'
'2 september 1536', '1536-09-02'
'thu 27 feb 1975', '1975-02-27'
'1904 4 aug', '1904-08-04'
'10/16/32', '1632-10-16'
'may 6 2069', '2069-05-06'
'mar 12 1615', '1615-03-12'
'3 may 1888', '1888-05-03'
'5 january 1983', '1983-01-05'
'8/22/73', '1673-08-22'
'10/12/36', '1636-10-12'
'27 july 2001', '2001-07-27'
'7/28/75', '1875-07-28'
'april 7 1643', '1643-04-07'
'may 11 1619', '1619-05-11'
'february 3 1913', '1913-02-03'
'sat 1739 3 october', '1739-10-03'
'july 13 1706', '1706-07-13'
'august 30 2006', '2006-08-30'
'sep 12 2021', '2021-09-12'
'february 27 1683', '1683-02-27'
'august 16 1573', '1573-08-16'
'7 march 1603', '1603-03-07'
'sunday june 20 1565', '1565-06-20'
'monday july 16 1877', '1877-07-16'
'apr 18 1998', '1998-04-18'
'sun 24 oct 1965', '1965-10-24'
'tue 1843 19 december', '1843-12-19'
'monday june 13 1611', '1611-06-13'
'jun 17 1607', '1607-06-17'
'oct 3 1989', '1989-10-03'
'february 11 1751', '1751-02-11'
'nov 1 1850', '1850-11-01'
'jun 12 1831', '1831-06-12'
'1 september 1633', '1633-09-01'
'jul 29 1680', '1680-07-29'
'sat 2017 9 december', '2017-12-09'
'october 25 1587', '1587-10-25'
'august 23 1898', '1898-08-23'
'sunday 1921 27 03', '1921-03-27'
'wednesday july 27 1549', '1549-07-27'
'october 26 1776', '1776-10-26'
'14 may 1989', '1989-05-14'
'25 november 1980', '1980-11-25'
'may 30 1710', '1710-05-30'
'sunday 10 april 2067', '2067-04-10'
'wednesday 2008 17 09', '2008-09-17'
'mon 1877 19 february', '1877-02-19'
'saturday may 12 1646', '1646-05-12'
'31 july 1628', '1628-07-31'
'friday may 24 2002', '2002-05-24'
'friday april 30 1610', '1610-04-30'
'march 23 1872', '1872-03-23'
'august 24 1654', '1654-08-24'
'june 18 1836', '1836-06-18'
'26 may 1926', '1926-05-26'
'april 29 1580', '1580-04-29'
'april 18 1903', '1903-04-18'
'july 15 1832', '1832-07-15'
'monday 22 february 1988', '1988-02-22'
'apr 28 1635', '1635-04-28'
'aug 21 1625', '1625-08-21'
'thursday 1547 27 02', '1547-02-27'
'may 20 1975', '1975-05-20'
'4/6/62', '1862-04-06'
'1530 18 august', '1530-08-18'
'january 7 1545', '1545-01-07'
'tuesday may 28 2047', '2047-05-28'
'dec 18 1686', '1686-12-18'
'july 29 1919', '1919-07-29'
'27 may 2047', '2047-05-27'
'january 10 1740', '1740-01-10'
'october 14 1806', '1806-10-14'
'10 august 1719', '1719-08-10'
'july 27 1963', '1963-07-27'
'2 april 1613', '1613-04-02'
'22 apr 1548', '1548-04-22'
'march 4 1885', '1885-03-04'
'jan 24 1572', '1572-01-24'
'saturday october 26 2052', '2052-10-26'
'10/06/1832', '1832-06-10'
'1579 16 july', '1579-07-16'
'fri 2069 5 april', '2069-04-05'
'nov 24 1564', '1564-11-24'
'mon 8 dec 1608', '1608-12-08'
'21 july 1914', '1914-07-21'
'1522 1 feb', '1522-02-01'
'august 1 1595', '1595-08-01'
'sat 28 jan 1556', '1556-01-28'
'monday february 23 1829', '1829-02-23'
'8/2/38', '1538-08-02'
'sunday 6 april 1558', '1558-04-06'
'1758 17 feb', '1758-02-17'
'20 january 1895', '1895-01-20'
'jun 25 1604', '1604-06-25'
'1 august 1548', '1548-08-01'
'11 june 1985', '1985-06-11'
'16 june 1963', '1963-06-16'
'1967 3 jul', '1967-07-03'
'1554 9 june', '1554-06-09'
'feb 9 1853', '1853-02-09'
'14 mar 1734', '1734-03-14'
'march 21 1803', '1803-03-21'
'november 14 1887', '1887-11-14'
'9 june 1566', '1566-06-09'
'02/09/1555', '1555-09-02'
'jun 21 1637', '1637-06-21'
'sep 9 1928', '1928-09-09'
'saturday december 10 1796', '1796-12-10'
'monday march 8 1537', '1537-03-08'
'14 august 1820', '1820-08-14'
